code,es_la
you.are.the.boss.of.the.engagement.create.and.manage.different.groups.allow.and.restrict.access.or.offer.greater.functionalities.to.paying.members.of.your.community,"Tú eres el jefe de la interacción. Crea y administra diferentes grupos, permite o restringe el acceso, u ofrece mejores funcionalidades a miembros de tu comunidad que pagan. "
content.moderation,"Moderación de contenido"
advanced.filters,"Filtros avanzados"
post.announcement,"Publica Anuncios"
manage.your.events.span.classlineinsall.in.oneinsspan,"Administra tus eventos <span class=""line""><ins>En un solo lugar</ins></span>"
take.care.of.the.whole.event.lifecycle.of.your.online.and.offline.events.from.the.first.idea.to.follow.up.with.one.platform,"Ten el control de todo el ciclo del evento de tus eventos en línea y presenciales desde la primera idea hasta el seguimiento con una sola plataforma."
transform.your.events,"Transforma Tus Eventos"
own.your.events.at.every.stage,"Controla tus eventos en cada etapa"
from.small.workshops.and.webinars.to.multi.day.summits.with.thousands.of.attendees.glue.ups.automated.events.platform.makes.event.planning.faster.and.more.efficient.for.the.whole.team,"Desde pequeños talleres y seminarios web hasta cumbres de varios días con miles de asistentes, la plataforma de eventos automatizados de Glue Up hace que la planificación de eventos sea más rápida y eficiente para todo el equipo."
before,"Antes "
create,Crear
ready.set.go.brthat.easy,"¡En sus marcas, listos, fuera! <br>  Así de fácil."
set.up.one.or.hundred.high.converting.event.pages.without.compromising.on.your.branding,"Configura una o cien páginas de eventos de alta conversión sin comprometer tu marca."
create.custom.registration.forms.activate.supported.payment.options.add.speakers.and.agenda.all.in.just.a.few.clicks,"Crea formularios de registro personalizados, activa las opciones de pago admitidas, agrega oradores y agenda. Todo en unos pocos clics."
event.website.builder,"Creador de sitios web de eventos"
custom.registration.forms,"Formularios de registro personalizados"
event.blueprint.duplication,"Plano de evento y duplicación"
online.ticketing.payments,"Boletos y Pagos en línea"
event.templates,"Plantillas de eventos"
promote,Promueve
tell.the.world.brabout.your.event,"Dile al mundo <br>acerca de tu evento"
streamline.your.event.marketing.and.send.newsletters.branded.event.invitations.and.other.emails.to.targeted.audiences,"Optimiza tu mercadotecnia de eventos y manda boletines informativos, invitaciones personalizadas a eventos y otros correos a audiencias segmentadas."
share.your.event.page.on.your.website.or.social.media.channels.for.even.more.exposure,"Comparte tu página de eventos en tu sitio web o canales de redes sociales para una mayor exposición."
branded.event.invitations,"Invitaciones a eventos marcadas"
automated.notifications,"Notificaciones automatizadas"
social.media.integrations,"Integraciones con Redes Sociales"
drag.drop.email.editor,"Editor de Correo Electrónico de Arrastrar & Soltar"
check.in,"Registro "
make.first.impressions.memorable,"Haz una primera impresión memorable"
remind.attendees.about.the.event.with.push.notifications.and.automatic.reminders,"Recuérdale a los asistentes sobre el evento con notificaciones y recordatorios automáticos"
then.welcome.them.online.at.your.virtual.or.physical.event.with.smooth.check.ins.and.provide.badges.or.digital.business.cards," Luego, dales la bienvenida en línea en tu evento virtual o físico con registros fáciles y proporciona gafetes o tarjetas de presentación digitales."
qr.code.check.ins,"Registros de códigos QR"
custom.notifications,"Notificaciones personalizadas"
agenda.maps.bios,"Agenda, Mapas, Bios"
event.documents,"Documentos de evento"
manage,Administra
know.how.you.do.brin.real.time,"Lo que necesitas saber <br>en tiempo real"
track.attendance.sponsorship.sales.profit.loss.from.each.event.and.performance.of.your.event.campaigns.from.anywhere,"Realiza seguimiento de la asistencia, las ventas de patrocinio, ganancias & pérdidas de cada uno de los eventos y rendimiento de las campañas desde cualquier lugar.."
profit.loss.reports,"Informes de pérdidas y ganancias"
live.check.in.metrics,"Metrics de Registro en tiempo real"
walk.in.attendees,"Asistentes en el momento"
exhibitor.management,"Administración de expositores"
engage,Interactúa
exceed.attendes.expectations,"Supera las expectativas de los asistentes."
enable.your.event.community.to.create.and.share.their.own.digital.business.cards,"Permite que tu comunidad de eventos cree y comparta sus propias tarjetas de presentación digitales."
manage.their.contacts.and.effectively.network.with.everyone.before.during.and.after.your.physical.and.online.events,"Administra tus contactos y establece relaciones con todos antes, durante y después de tus eventos físicos y en línea."
attendee.chat,"Chat de asistentes"
individual.crm,"CRM Individual"
business.card.exchange,"Intercambio de tarjetas de presentación"
event.rooms,"Salones de eventos"
glue.up.mobile.app,"Aplicación móvil Glue Up"
follow.up,Seguimiento
ask.for.feedback,"Solicitar comentarios"
easily.create.surveys.quizzes.and.polls.to.measure.and.understand.feedback.so.you.can.improve.your.events,"Crea encuestas, cuestionarios y sondeos para medir y comprender los comentarios y poder mejorar sus eventos."
unlimited.questions,"Preguntas Ilimitadas"
expert.written.templates,"Plantillas escritas por expertos"
survey.logic,"Logica de encuesta"
tracking.analytics,"Seguimiento y Análisis"
evaluate,Evalúa
understand.the.impact.brof.your.events,"Comprende el Impacto <br>de Tus Eventos"
analyze.your.performance.with.powerful.dashboards.and.reports.to.get.insights.into.your.attendees.activity.from.events.email.marketing.sales.or.finance,"Analiza tu rendimiento con paneles e informes potentes para descubrir tendencia sobre la actividad de tus asistentes en eventos, marketing por correo electrónico, ventas o finanzas."
roi.insights,"Información de ROI"
email.analytics,"Análitica de correo electrónico"
automatic.invoices.receipts,"Facturas y recibos automáticos"
scale.up,Escala
get.better.brand.go.again,"Se Mejor <br>y Hazlo de Nuevo"
convert.your.most.successful.events.into.templates,"Convierte tus eventos más exitosos en plantillas."
make.quick.edits.and.host.new.events.with.similar.registration.processes.pricing.sponsors.and.invite.new.and.previous.atteendees.to.save.even.more.time,"Realiza ediciones rápidas y organiza nuevos eventos con procesos similares de registro, precios, patrocinadores e invita a asistentes nuevos y anteriores para ahorrar aún más tiempo."
easy.event.duplication,"Duplicación de eventos fácil"
glue.up.crm,"Glue Up CRM"
multi.language.support,Multi-lenguaje
event.blueprints,"Planos de evento"
opportunities.pipeline,"Canal de Oportunidades"
ready.set.go.that.easy,"¡En sus marcas, listos, fuera! Así de fácil"
online.events,"Eventos en línea"
monetize.enhance.bryour.webinars,"Monetiza y Resalta <br>Tus Webinars"
